Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification, Revenue 
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,8300,High," 819,542,000 "
i8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,3428,Low," 271,562,732 "
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low," 792,175,410 "
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low," 246,749,637 "
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low," 153,685,840 "
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,1232,Low," 52,884,832 "
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High," 437,703,736 "
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low," 64,955,696 "
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High," 1,041,815,008 "
i8,2019,Europe,White,Electric,Manual,3,35700,96257,4411,Low," 424,589,627 "
3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995,500,Low," 58,997,500 "
i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High," 615,095,828 "
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High," 811,221,665 "
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low," 557,760,648 "
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High," 248,462,698 "
M3,2014,North America,Silver,Hybrid,Manual,3,154050,94997,7765,High," 737,651,705 "
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,5561,Low," 638,647,484 "
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High," 799,266,170 "
5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326,4880,Low," 543,270,880 "
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,7104,High," 587,337,408 "
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High," 760,665,785 "
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low," 70,053,333 "
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,9383,High," 464,524,181 "
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,7521,High," 765,570,111 "
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low," 298,136,871 "
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low," 396,543,650 "
M3,2015,Asia,Red,Hybrid,Manual,2,41514,116902,8897,High," 1,040,077,094 "
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,6481,Low," 696,480,665 "
M5,2021,Asia,Red,Hybrid,Automatic,3,105162,32076,9469,High," 303,727,644 "
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low," 92,230,560 "
i8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,5006,Low," 511,688,290 "
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low," 28,930,496 "
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low," 217,956,207 "
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low," 401,978,592 "
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low," 573,544,032 "
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low," 493,682,640 "
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High," 424,160,982 "
i8,2010,Middle East,Grey,Petrol,Automatic,4,98514,37949,2278,Low," 86,447,822 "
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low," 340,832,892 "
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High," 251,701,110 "
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low," 12,036,994 "
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low," 221,054,442 "
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low," 175,589,814 "
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High," 734,144,512 "
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low," 178,164,625 "
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High," 848,096,256 "
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High," 654,680,037 "
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low," 56,282,040 "
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High," 892,795,686 "
i3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,8438,High," 789,020,504 "
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low," 811,751,144 "
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low," 155,373,534 "
i8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,5887,Low," 260,611,603 "
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low," 28,045,216 "
i8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,3291,Low," 331,558,377 "
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low," 363,158,206 "
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,4125,Low," 237,340,125 "
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High," 451,619,406 "
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High," 614,706,960 "
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low," 180,331,266 "
M3,2016,South America,Grey,Electric,Automatic,3,102675,93915,9470,High," 889,375,050 "
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,5425,Low," 636,010,725 "
i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low," 14,532,025 "
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low," 444,001,950 "
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low," 42,958,740 "
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low," 368,590,932 "
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,2191,Low," 97,109,502 "
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low," 215,132,064 "
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low," 352,416,440 "
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low," 76,549,850 "
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High," 871,981,047 "
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low," 63,979,965 "
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low," 185,119,732 "
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low," 40,970,475 "
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low," 361,759,994 "
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low," 247,948,940 "
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low," 353,693,428 "
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low," 393,189,966 "
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High," 736,116,480 "
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High," 858,256,388 "
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High," 718,042,272 "
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low," 688,014,659 "
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low," 564,874,583 "
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low," 71,375,088 "
i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High," 751,468,305 "
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low," 155,833,304 "
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low," 296,058,040 "
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High," 398,268,783 "
i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low," 78,994,395 "
X3,2023,Europe,Red,Hybrid,Manual,3,12922,101473,8030,High," 814,828,190 "
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low," 524,483,685 "
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low," 335,381,233 "
X3,2019,North America,Silver,Hybrid,Automatic,4,189804,119927,1472,Low," 176,532,544 "
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low," 32,935,175 "
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High," 459,757,728 "
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low," 121,837,939 "
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High," 822,917,900 "
i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low," 64,174,626 "
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low," 266,144,700 "
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low," 551,646,097 "
3 Series,2011,Middle East,Red,Hybrid,Automatic,4,22280,55612,6698,Low," 372,489,176 "
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low," 437,170,528 "
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low," 564,487,687 "
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High," 403,781,554 "
X1,2023,Middle East,Silver,Diesel,Manual,2,172729,85801,8644,High," 741,663,844 "
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low," 503,114,128 "
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High," 355,934,136 "
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low," 302,595,480 "
7 Series,2023,Europe,Red,Electric,Manual,5,50602,83812,2241,Low," 187,822,692 "
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High," 814,261,359 "
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High," 250,100,294 "
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High," 863,746,155 "
i3,2023,North America,Silver,Electric,Manual,5,190643,36081,190,Low," 6,855,390 "
7 Series,2017,Middle East,Grey,Petrol,Automatic,3,112754,93431,7462,High," 697,182,122 "
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High," 341,482,050 "
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low," 268,489,660 "
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low," 332,294,992 "
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low," 58,477,260 "
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High," 916,033,300 "
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low," 568,455,796 "
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High," 403,145,098 "
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low," 106,419,280 "
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low," 182,802,312 "
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low," 22,403,028 "
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low," 263,109,948 "
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low," 219,440,988 "
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low," 383,450,100 "
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High," 284,756,307 "
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High," 915,721,885 "
X3,2022,Asia,Black,Diesel,Manual,4,160878,53997,2162,Low," 116,741,514 "
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High," 850,363,672 "
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low," 113,461,155 "
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low," 248,688,600 "
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low," 663,835,668 "
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High," 338,068,350 "
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low," 200,579,260 "
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low," 656,207,468 "
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low," 124,706,169 "
M5,2017,Asia,Blue,Diesel,Manual,5,51891,103316,1732,Low," 178,943,312 "
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low," 76,659,061 "
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low," 53,532,360 "
M5,2012,Europe,Black,Electric,Manual,5,86899,56202,3235,Low," 181,813,470 "
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High," 772,097,128 "
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low," 275,992,218 "
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low," 292,600,149 "
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High," 821,254,928 "
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High," 749,609,000 "
3 Series,2020,North America,Silver,Hybrid,Automatic,3,158046,78509,8070,High," 633,567,630 "
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low," 14,330,862 "
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low," 562,011,792 "
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High," 286,519,290 "
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low," 112,164,504 "
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low," 454,728,448 "
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High," 820,241,682 "
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High," 1,154,361,520 "
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High," 413,160,207 "
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High," 922,695,018 "
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low," 108,992,000 "
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High," 964,986,256 "
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low," 45,857,280 "
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High," 990,044,892 "
